code,name,start_date,end_date,state,personnel_class,admin_id
1,"5회차 머신러닝(Machine Learning)을 활용한 데이터 분석 과정","2019-03-12 00:00:00","2019-07-29 00:00:00",Closed,3,TA00
2,"3회차 딥러닝 (AI:인공신경망 네트워크)구현을 위한 빅데이터분석 양성과정","2019-03-01 00:00:00","2019-07-18 00:00:00",Closed,2,TA07
3,"6회차 프론트엔드(ReactJS, AngularJS) 개발을 위한 자바(JAVA)웹개발자 양성과정","2019-01-28 00:00:00","2019-06-16 00:00:00",Closed,4,TA06
4,"1회차 데이터베이스기반 빅데이터분석가 양성과정","2019-01-28 00:00:00","2019-06-16 00:00:00",Closed,1,TA05
5,"4회차 딥러닝 (AI:인공신경망 네트워크)구현을 위한 빅데이터분석 양성과정","2019-07-29 00:00:00","2019-12-15 00:00:00",Running,1,TA01
6,"6회차 머신러닝(Machine Learning)을 활용한 데이터 분석 과정","2019-07-29 00:00:00","2019-12-15 00:00:00",Running,2,TA03
7,"7회차 프론트엔드(ReactJS, AngularJS) 개발을 위한 자바(JAVA)웹개발자 양성과정","2019-07-06 00:00:00","2019-11-22 00:00:00",Running,4,TA02
8,"8회차 프론트엔드(ReactJS, AngularJS) 개발을 위한 자바(JAVA)웹개발자 양성과정","2019-08-08 00:00:00","2019-12-25 00:00:00",Running,3,TA04
9,"2회차 데이터베이스기반 빅데이터분석가 양성과정","2019-11-26 00:00:00","2020-04-13 00:00:00",Planning,4,TA08
10,"1회차 OpenSource를 활용한 BigData 플랫폼과 실시간 빅데이터 분석가 양성과정","2019-11-27 00:00:00","2020-04-14 00:00:00",Planning,2,TA09
