id,subject,categorize,update_date,upload_date,context,hits,course_code,admin_id
1,"Git 수업 자료 입니다.",기타,"2019-11-20 10:12:24","2019-11-18 15:50:15","git 수업 자료 입니다.",5,3,AD00
2,"자바 연습문제 모음집 입니다.",기타,"2019-11-20 10:18:52","2019-11-20 10:17:26","학원에서 제공하는 자바 연습문제 모음집입니다. 참고하시고 취업준비 잘 하세요.",3,7,CH01
3,"Git 관련 자료입니다.",기타,"2019-11-20 10:24:51","2019-11-20 10:24:48",,1,7,TA02
4,"Vue관련 자료 입니다.",안내사항,"2019-11-21 10:15:19","2019-11-20 10:27:35",,2,7,TA02
5,"javaNIO 예제 파일입니다.",기타,"2019-11-20 10:51:13","2019-11-20 10:34:24","JavaNIO 예제 파일입니다. 잘 참고하시고 열심히 공부하세요.",2,7,TA02
6,"Java예제 파일입니다.",기타,"2019-11-20 10:52:36","2019-11-20 10:52:32",,1,7,TA02
7,"Java chap2~3 예제 파일입니다.",기타,"2019-11-20 10:54:04","2019-11-20 10:54:01",,1,7,TA02
8,"Java chap05~10 예제 파일입니다.",기타,"2019-11-20 10:55:48","2019-11-20 10:55:48",,0,7,TA02
9,"Java chap11~16 예제 파일입니다.",기타,"2019-11-21 11:42:00","2019-11-20 10:58:14",,10,7,TA02
10,"핑거 포인트 랩입니다.",채용,"2019-11-21 10:14:42","2019-11-20 11:09:14",,3,7,AD00
11,"핑거포인트 랩관련 파일입니다.",채용,"2019-11-20 11:10:36","2019-11-20 11:10:36",,0,1,AD00
12,"취업 관련 Java문제 모음집 입니다.",채용,"2019-11-20 11:35:38","2019-11-20 11:11:38",,2,8,AD00
13,"용어 정리 관련 파일입니다.",기타,"2019-11-21 07:35:39","2019-11-20 19:51:17","수업 관련 용어 정리 파일입니다.",8,7,TA02
