id,subject,categorize,update_date,upload_date,context,start_date,end_date,hits,course_code,admin_id
1,"제출 서류",기타,"2019-11-15 18:02:11","2019-10-28 19:17:08","안녕하세요. 1회차 데이터베이스기반 빅데이터분석가 양성과정 수강생여러분. 필요한 서류 안내입니다. 다음주까지 저에게 제출해주시면 됩니다.","2019-01-28 00:00:00","2019-01-28 00:00:00",0,9,AD03
2,"[파이썬] 평가",시험,"2019-10-29 10:02:33","2019-10-28 19:17:08","7/2 (화)요일 1차 능력단위 [파이썬] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-02-11 00:00:00","2019-02-11 00:00:00",1,1,AD03
3,"[데이터분석] 평가",시험,"2019-10-29 09:37:59","2019-10-28 19:17:08","9/17 (화)요일 1차 능력단위 [파이썬을 이용한 데이터분석] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-03-11 00:00:00","2019-03-11 00:00:00",0,1,AD03
4,"[분석용 데이터구축] 평가",시험,"2019-10-28 19:17:08","2019-10-28 19:17:08","10/7 (월)요일 3차 능력단위 [분석용 데이터구축] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-05-13 00:00:00","2019-05-13 00:00:00",0,1,AD03
5,"기초이력서 제출안내",안내사항,"2019-10-28 19:17:08","2019-10-28 19:17:08","오늘 오전 OT시간에 말씀드렸던 *기초이력서 양식* 보내드립니다. 증명사진이 아니어도 좋으니 반드시 이력서에 본인 얼굴이 나온 사진 이미지를 첨부하여 작성 부탁드립니다. 빠짐없이 기초이력서를 작성 후, 7/1 (월) 오후 9시까지 제 메일로 회신해주세요. 기타 궁금하신 점 있으시면 언제든지 문의주시기 바랍니다.","2019-06-25 00:00:00","2019-07-01 00:00:00",0,7,AD00
6,"[화면 구현] 평가",시험,"2019-11-15 16:05:55","2019-10-28 19:17:08","7/2 (화)요일 1차 능력단위 [화면 구현] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-07-02 00:00:00","2019-07-02 00:00:00",1,7,AD00
8,"[애플리케이션 구현] 평가",시험,"2019-11-15 18:02:11","2019-10-28 19:17:08","9/17 (화)요일 1차 능력단위 [애플리케이션 구현] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-09-17 00:00:00","2019-09-17 00:00:00",1,9,AD00
9,"[애플리케이션 배포] 평가",채용,"2019-11-20 19:08:35","2019-10-28 19:17:08","10/7 (월)요일 1차 능력단위 [애플리케이션 배포] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-10-07 00:00:00","2019-10-07 00:00:00",9,7,TA02
10,"교육 내용 안내",안내사항,"2019-10-29 09:28:54","2019-10-28 19:17:08","안녕하세요. 6회차 머신러닝을 활용한 데이터 분석 과정 수강생 여러분. 담당 매니저 김성호입니다. 머신러닝을 활용한 데이터 분석 과정 커리큘럼 안내입니다. 교육 일정은 2019년 3월 12일부터 2019년 07월 18일입니다.","2019-07-29 00:00:00","2019-07-29 00:00:00",1,6,AD02
11,"[파이썬 프로그래밍] 평가",시험,"2019-11-18 16:01:09","2019-10-28 19:17:08","7/2 (화)요일 1차 능력단위 [파이썬 프로그래밍] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-08-05 00:00:00","2019-08-05 00:00:00",1,9,AD02
12,"[R 빅데이터 기본 분석] 평가",시험,"2019-11-18 16:01:05","2019-10-28 19:17:08","9/17 (화)요일 1차 능력단위 [R 빅데이터 기본 분석] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-09-02 00:00:00","2019-09-02 00:00:00",2,6,AD02
13,"[머신러닝_Python] 평가",시험,"2019-11-18 16:01:02","2019-10-28 19:17:08","10/7 (월)요일 1차 능력단위 [머신러닝_Python] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-10-14 00:00:00","2019-10-14 00:00:00",3,9,AD02
14,"[빅데이터 환경분석] 평가",시험,"2019-11-14 13:18:38","2019-10-29 11:42:24","11/4 (월)요일 4차 능력단위 [빅데이터 환경분석] 평가가 있습니다. 평가 당일 부득이하게, 결석하시게 될 경우, 꼭 미리 저에게 말씀해주시기 바랍니다.","2019-11-04 00:00:00","2019-11-04 00:00:00",1,6,AD00
15,"[파이썬 프로그래밍] 공지",기타,"2019-11-21 07:30:33","2019-11-14 13:20:19","파이썬 프로그래밍을 위한 기초 샘플입니다.","2019-11-01 00:00:00","2019-11-30 00:00:00",16,7,AD00
16,"[애플리케이션 배포] 평가",시험,"2019-11-18 16:00:54","2019-11-14 16:35:26",,"2019-11-22 00:00:00","2019-11-22 00:00:00",1,6,TA03
17,"[애플리케이션 배포] 평가",채용,"2019-11-21 07:33:57","2019-11-14 16:36:18",,"2019-11-12 00:00:00","2019-11-15 00:00:00",17,9,AD00
